reading lang.rbnf
OK
check syntax and markup RBNF tokens
OK
RBNF tokens: 337
135: nul    empty    "SPACE"
136: oper   terminal ","
137: nul    empty    "SPACE"
138: ident  non_term "name"
139: oper   terminal "="
140: ident  non_term "number"
141: oper   meta     "]"
142: nul    empty    "SPACE"
143: oper   terminal ";"
144: oper   meta     "."
145: nul    empty    "LF"
146: ident  head     "var_sector"
147: oper   meta     "="
148: nul    empty    "SPACE"
149: ident  terminal "var"
150: nul    empty    "SPACE"
151: ident  non_term "name"
152: nul    empty    "SPACE"
153: oper   meta     "["
154: nul    empty    "SPACE"
155: oper   terminal ","
156: nul    empty    "SPACE"
157: ident  non_term "name"
158: oper   meta     "]"
159: nul    empty    "SPACE"
160: oper   terminal ";"
161: oper   meta     "."
162: nul    empty    "LF"
163: ident  head     "proc_sector"
164: oper   meta     "="
165: nul    empty    "SPACE"
166: ident  terminal "procedure"
167: nul    empty    "SPACE"
168: ident  non_term "name"
169: nul    empty    "SPACE"
170: oper   terminal ";"
171: nul    empty    "SPACE"
172: ident  non_term "block"
173: nul    empty    "SPACE"
174: oper   terminal ";"
175: oper   meta     "."
176: nul    empty    "LF"
177: nul    empty    "LF"
178: ident  head     "block"
179: nul    empty    "SPACE"
180: oper   meta     "="
181: nul    empty    "SPACE"
182: oper   meta     "["
183: ident  non_term "const_sector"
184: oper   meta     "!]"
185: nul    empty    "SPACE"
186: oper   meta     "["
187: ident  non_term "var_sector"
188: oper   meta     "!]"
189: nul    empty    "SPACE"
190: oper   meta     "["
191: ident  non_term "proc_sector"
192: oper   meta     "]"
193: nul    empty    "SPACE"
194: ident  non_term "operator"
195: oper   meta     "."
196: nul    empty    "LF"
197: nul    empty    "LF"
198: ident  head     "operator_content"
199: oper   meta     "="
200: nul    empty    "SPACE"
201: nul    empty    "LF"
202: nul    empty    "SPACE"
203: nul    empty    "SPACE"
204: ident  non_term "name"
205: nul    empty    "SPACE"
206: ident  terminal "SEM_LET"
207: nul    empty    "SPACE"
208: oper   terminal ":="
209: nul    empty    "SPACE"
210: ident  terminal "SEM_DONE"
211: nul    empty    "SPACE"
212: ident  non_term "expression"
213: oper   meta     ","
214: nul    empty    "LF"
215: nul    empty    "SPACE"
216: nul    empty    "SPACE"
217: ident  terminal "call"
218: nul    empty    "SPACE"
219: ident  terminal "SEM_PROC_NAME"
220: nul    empty    "SPACE"
221: ident  non_term "name"
222: nul    empty    "SPACE"
223: ident  terminal "SEM_DONE"
224: oper   meta     ","
225: nul    empty    "LF"
226: nul    empty    "SPACE"
227: nul    empty    "SPACE"
228: ident  terminal "begin"
229: nul    empty    "SPACE"
230: ident  non_term "operator"
231: nul    empty    "SPACE"
232: oper   meta     "["
233: oper   terminal ";"
234: nul    empty    "SPACE"
235: ident  non_term "operator"
236: oper   meta     "]"
237: nul    empty    "SPACE"
238: ident  terminal "end"
239: oper   meta     ","
240: nul    empty    "LF"
241: nul    empty    "SPACE"
242: nul    empty    "SPACE"
243: ident  terminal "if"
244: nul    empty    "SPACE"
245: ident  non_term "condition"
246: nul    empty    "SPACE"
247: ident  terminal "then"
248: nul    empty    "SPACE"
249: ident  non_term "operator"
250: oper   meta     ","
251: nul    empty    "LF"
252: nul    empty    "SPACE"
253: nul    empty    "SPACE"
254: ident  terminal "while"
255: nul    empty    "SPACE"
256: ident  non_term "condition"
257: nul    empty    "SPACE"
258: ident  terminal "do"
259: nul    empty    "SPACE"
260: ident  non_term "operator"
261: oper   meta     "."
262: nul    empty    "LF"
263: nul    empty    "LF"
264: ident  head     "operator"
265: oper   meta     "="
266: nul    empty    "SPACE"
267: oper   meta     "["
268: nul    empty    "SPACE"
269: ident  non_term "operator_content"
270: nul    empty    "SPACE"
271: oper   meta     "!]"
272: oper   meta     "."
273: nul    empty    "LF"
274: nul    empty    "LF"
275: ident  head     "condition"
276: oper   meta     "="
277: nul    empty    "SPACE"
278: ident  non_term "unary_oper"
279: nul    empty    "SPACE"
280: ident  non_term "expression"
281: oper   meta     "."
282: nul    empty    "LF"
283: ident  head     "condition"
284: oper   meta     "="
285: nul    empty    "SPACE"
286: ident  non_term "expression"
287: nul    empty    "SPACE"
288: ident  non_term "binary_oper"
289: nul    empty    "SPACE"
290: ident  non_term "expression"
291: oper   meta     "."
292: nul    empty    "LF"
293: nul    empty    "LF"
294: ident  head     "expression"
295: oper   meta     "="
296: nul    empty    "SPACE"
297: oper   meta     "["
298: ident  non_term "plus_minus"
299: nul    empty    "SPACE"
300: oper   meta     "!]"
301: nul    empty    "SPACE"
302: ident  non_term "term"
303: nul    empty    "SPACE"
304: oper   meta     "["
305: ident  non_term "plus_minus"
306: nul    empty    "SPACE"
307: ident  non_term "term"
308: oper   meta     "]"
309: oper   meta     "."
310: nul    empty    "LF"
311: ident  head     "term"
312: oper   meta     "="
313: nul    empty    "SPACE"
314: ident  non_term "factor"
315: nul    empty    "SPACE"
316: oper   meta     "["
317: ident  non_term "mul_div"
318: nul    empty    "SPACE"
319: ident  non_term "factor"
320: oper   meta     "]"
321: oper   meta     "."
322: nul    empty    "LF"
323: ident  head     "factor"
324: oper   meta     "="
325: nul    empty    "SPACE"
326: ident  non_term "name"
327: oper   meta     ","
328: nul    empty    "SPACE"
329: ident  non_term "number"
330: oper   meta     ","
331: nul    empty    "SPACE"
332: oper   terminal "("
333: ident  non_term "expression"
334: oper   terminal ")"
335: oper   meta     "."
336: nul    empty    "LF"
337: nul    empty    "LF"
===============================
generate RBNF syntax tree
OK
RBNF links
  1: entry=  0, suc=  0, alt=  0 oper  terminal "//"
  2: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
  3: entry=  0, suc=  0, alt=  0 ident terminal "rbnf"
  4: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
  5: entry=  0, suc=  0, alt=  0 ident terminal "rules"
  6: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
  7: entry=  0, suc=  0, alt=  0 ident terminal "for"
  8: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
  9: entry=  0, suc=  0, alt=  0 ident terminal "Nilkaus"
 10: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 11: entry=  0, suc=  0, alt=  0 ident terminal "Wirth"
 12: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 13: entry=  0, suc=  0, alt=  0 ident terminal "PL0"
 14: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 15: entry=  0, suc=  0, alt=  0 ident terminal "language"
 16: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 17: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 18: entry= 22, suc=  0, alt=  0 ident head     "prog"
 19: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 20: entry=  0, suc=  0, alt=  0 oper  meta     "="
 21: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 22: entry=178, suc= 24, alt=  0 ident non_term "block"
 23: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 24: entry=  0, suc=  0, alt=  0 oper  terminal "."
 25: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 26: entry=  0, suc=  0, alt=  0 oper  meta     "."
 27: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 28: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 29: entry= 32, suc=  0, alt=  0 ident head     "number"
 30: entry=  0, suc=  0, alt=  0 oper  meta     "="
 31: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 32: entry=  0, suc= 34, alt=  0 ident terminal "SEM_VALUE"
 33: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 34: entry=  0, suc= 36, alt=  0 ident terminal "NUMBER"
 35: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 36: entry=  0, suc=  0, alt=  0 ident terminal "SEM_DONE"
 37: entry=  0, suc=  0, alt=  0 oper  meta     "."
 38: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 39: entry= 42, suc=  0, alt=  0 ident head     "name"
 40: entry=  0, suc=  0, alt=  0 oper  meta     "="
 41: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 42: entry=  0, suc= 44, alt=  0 ident terminal "EXCLUDE_ON"
 43: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 44: entry= 49, suc= 46, alt=  0 ident non_term "reserved_words"
 45: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 46: entry=  0, suc=  0, alt=  0 ident terminal "EXCLUDE_OFF"
 47: entry=  0, suc=  0, alt=  0 oper  meta     "."
 48: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 49: entry= 52, suc=  0, alt=  0 ident head     "reserved_words"
 50: entry=  0, suc=  0, alt=  0 oper  meta     "="
 51: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 52: entry=  0, suc=  0, alt= 54 ident terminal "const"
 53: entry=  0, suc=  0, alt=  0 oper  meta     ","
 54: entry=  0, suc=  0, alt= 56 ident terminal "var"
 55: entry=  0, suc=  0, alt=  0 oper  meta     ","
 56: entry=  0, suc=  0, alt= 58 ident terminal "procedure"
 57: entry=  0, suc=  0, alt=  0 oper  meta     ","
 58: entry=  0, suc=  0, alt= 60 ident terminal "call"
 59: entry=  0, suc=  0, alt=  0 oper  meta     ","
 60: entry=  0, suc=  0, alt= 62 ident terminal "begin"
 61: entry=  0, suc=  0, alt=  0 oper  meta     ","
 62: entry=  0, suc=  0, alt= 64 ident terminal "end"
 63: entry=  0, suc=  0, alt=  0 oper  meta     ","
 64: entry=  0, suc=  0, alt= 66 ident terminal "if"
 65: entry=  0, suc=  0, alt=  0 oper  meta     ","
 66: entry=  0, suc=  0, alt= 68 ident terminal "then"
 67: entry=  0, suc=  0, alt=  0 oper  meta     ","
 68: entry=  0, suc=  0, alt= 70 ident terminal "while"
 69: entry=  0, suc=  0, alt=  0 oper  meta     ","
 70: entry=  0, suc=  0, alt=  0 ident terminal "do"
 71: entry=  0, suc=  0, alt=  0 oper  meta     "."
 72: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 73: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 74: entry= 77, suc=  0, alt=  0 ident head     "unary_oper"
 75: entry=  0, suc=  0, alt=  0 oper  meta     "="
 76: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 77: entry=  0, suc=  0, alt=  0 ident terminal "odd"
 78: entry=  0, suc=  0, alt=  0 oper  meta     "."
 79: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
 80: entry= 83, suc=  0, alt=  0 ident head     "binary_oper"
 81: entry=  0, suc=  0, alt=  0 oper  meta     "="
 82: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 83: entry=  0, suc=  0, alt= 86 oper  terminal "="
 84: entry=  0, suc=  0, alt=  0 oper  meta     ","
 85: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 86: entry=  0, suc=  0, alt= 89 oper  terminal "<>"
 87: entry=  0, suc=  0, alt=  0 oper  meta     ","
 88: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 89: entry=  0, suc=  0, alt= 92 oper  terminal "<"
 90: entry=  0, suc=  0, alt=  0 oper  meta     ","
 91: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 92: entry=  0, suc=  0, alt= 95 oper  terminal ">"
 93: entry=  0, suc=  0, alt=  0 oper  meta     ","
 94: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 95: entry=  0, suc=  0, alt= 98 oper  terminal "<="
 96: entry=  0, suc=  0, alt=  0 oper  meta     ","
 97: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
 98: entry=  0, suc=  0, alt=  0 oper  terminal ">="
 99: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
100: entry=  0, suc=  0, alt=  0 oper  meta     "."
101: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
102: entry=105, suc=  0, alt=  0 ident head     "plus_minus"
103: entry=  0, suc=  0, alt=  0 oper  meta     "="
104: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
105: entry=  0, suc=  0, alt=108 oper  terminal "+"
106: entry=  0, suc=  0, alt=  0 oper  meta     ","
107: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
108: entry=  0, suc=  0, alt=  0 oper  terminal "-"
109: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
110: entry=  0, suc=  0, alt=  0 oper  meta     "."
111: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
112: entry=115, suc=  0, alt=  0 ident head     "mul_div"
113: entry=  0, suc=  0, alt=  0 oper  meta     "="
114: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
115: entry=  0, suc=  0, alt=118 oper  terminal "*"
116: entry=  0, suc=  0, alt=  0 oper  meta     ","
117: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
118: entry=  0, suc=  0, alt=  0 oper  terminal "/"
119: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
120: entry=  0, suc=  0, alt=  0 oper  meta     "."
121: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
122: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
123: entry=126, suc=  0, alt=  0 ident head     "const_sector"
124: entry=  0, suc=  0, alt=  0 oper  meta     "="
125: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
126: entry=  0, suc=128, alt=  0 ident terminal "const"
127: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
128: entry= 39, suc=130, alt=  0 ident non_term "name"
129: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
130: entry=  0, suc=132, alt=  0 oper  terminal "="
131: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
132: entry= 29, suc=136, alt=  0 ident non_term "number"
133: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
134: entry=  0, suc=  0, alt=  0 oper  meta     "["
135: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
136: entry=  0, suc=138, alt=143 oper  terminal ","
137: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
138: entry= 39, suc=139, alt=  0 ident non_term "name"
139: entry=  0, suc=140, alt=  0 oper  terminal "="
140: entry= 29, suc=136, alt=  0 ident non_term "number"
141: entry=  0, suc=  0, alt=  0 oper  meta     "]"
142: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
143: entry=  0, suc=  0, alt=  0 oper  terminal ";"
144: entry=  0, suc=  0, alt=  0 oper  meta     "."
145: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
146: entry=149, suc=  0, alt=  0 ident head     "var_sector"
147: entry=  0, suc=  0, alt=  0 oper  meta     "="
148: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
149: entry=  0, suc=151, alt=  0 ident terminal "var"
150: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
151: entry= 39, suc=155, alt=  0 ident non_term "name"
152: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
153: entry=  0, suc=  0, alt=  0 oper  meta     "["
154: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
155: entry=  0, suc=157, alt=160 oper  terminal ","
156: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
157: entry= 39, suc=155, alt=  0 ident non_term "name"
158: entry=  0, suc=  0, alt=  0 oper  meta     "]"
159: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
160: entry=  0, suc=  0, alt=  0 oper  terminal ";"
161: entry=  0, suc=  0, alt=  0 oper  meta     "."
162: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
163: entry=166, suc=  0, alt=  0 ident head     "proc_sector"
164: entry=  0, suc=  0, alt=  0 oper  meta     "="
165: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
166: entry=  0, suc=168, alt=  0 ident terminal "procedure"
167: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
168: entry= 39, suc=170, alt=  0 ident non_term "name"
169: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
170: entry=  0, suc=172, alt=  0 oper  terminal ";"
171: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
172: entry=178, suc=174, alt=  0 ident non_term "block"
173: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
174: entry=  0, suc=  0, alt=  0 oper  terminal ";"
175: entry=  0, suc=  0, alt=  0 oper  meta     "."
176: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
177: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
178: entry=183, suc=  0, alt=  0 ident head     "block"
179: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
180: entry=  0, suc=  0, alt=  0 oper  meta     "="
181: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
182: entry=  0, suc=  0, alt=  0 oper  meta     "["
183: entry=123, suc=187, alt=187 ident non_term "const_sector"
184: entry=  0, suc=  0, alt=  0 oper  meta     "!]"
185: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
186: entry=  0, suc=  0, alt=  0 oper  meta     "["
187: entry=146, suc=191, alt=191 ident non_term "var_sector"
188: entry=  0, suc=  0, alt=  0 oper  meta     "!]"
189: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
190: entry=  0, suc=  0, alt=  0 oper  meta     "["
191: entry=163, suc=191, alt=194 ident non_term "proc_sector"
192: entry=  0, suc=  0, alt=  0 oper  meta     "]"
193: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
194: entry=264, suc=  0, alt=  0 ident non_term "operator"
195: entry=  0, suc=  0, alt=  0 oper  meta     "."
196: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
197: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
198: entry=204, suc=  0, alt=  0 ident head     "operator_content"
199: entry=  0, suc=  0, alt=  0 oper  meta     "="
200: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
201: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
202: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
203: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
204: entry= 39, suc=206, alt=217 ident non_term "name"
205: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
206: entry=  0, suc=208, alt=  0 ident terminal "SEM_LET"
207: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
208: entry=  0, suc=210, alt=  0 oper  terminal ":="
209: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
210: entry=  0, suc=212, alt=  0 ident terminal "SEM_DONE"
211: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
212: entry=294, suc=  0, alt=  0 ident non_term "expression"
213: entry=  0, suc=  0, alt=  0 oper  meta     ","
214: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
215: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
216: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
217: entry=  0, suc=219, alt=228 ident terminal "call"
218: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
219: entry=  0, suc=221, alt=  0 ident terminal "SEM_PROC_NAME"
220: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
221: entry= 39, suc=223, alt=  0 ident non_term "name"
222: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
223: entry=  0, suc=  0, alt=  0 ident terminal "SEM_DONE"
224: entry=  0, suc=  0, alt=  0 oper  meta     ","
225: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
226: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
227: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
228: entry=  0, suc=230, alt=243 ident terminal "begin"
229: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
230: entry=264, suc=233, alt=  0 ident non_term "operator"
231: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
232: entry=  0, suc=  0, alt=  0 oper  meta     "["
233: entry=  0, suc=235, alt=238 oper  terminal ";"
234: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
235: entry=264, suc=233, alt=  0 ident non_term "operator"
236: entry=  0, suc=  0, alt=  0 oper  meta     "]"
237: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
238: entry=  0, suc=  0, alt=  0 ident terminal "end"
239: entry=  0, suc=  0, alt=  0 oper  meta     ","
240: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
241: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
242: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
243: entry=  0, suc=245, alt=254 ident terminal "if"
244: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
245: entry=275, suc=247, alt=  0 ident non_term "condition"
246: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
247: entry=  0, suc=249, alt=  0 ident terminal "then"
248: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
249: entry=264, suc=  0, alt=  0 ident non_term "operator"
250: entry=  0, suc=  0, alt=  0 oper  meta     ","
251: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
252: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
253: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
254: entry=  0, suc=256, alt=  0 ident terminal "while"
255: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
256: entry=275, suc=258, alt=  0 ident non_term "condition"
257: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
258: entry=  0, suc=260, alt=  0 ident terminal "do"
259: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
260: entry=264, suc=  0, alt=  0 ident non_term "operator"
261: entry=  0, suc=  0, alt=  0 oper  meta     "."
262: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
263: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
264: entry=269, suc=  0, alt=  0 ident head     "operator"
265: entry=  0, suc=  0, alt=  0 oper  meta     "="
266: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
267: entry=  0, suc=  0, alt=  0 oper  meta     "["
268: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
269: entry=198, suc=  0, alt= -1 ident non_term "operator_content"
270: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
271: entry=  0, suc=  0, alt=  0 oper  meta     "!]"
272: entry=  0, suc=  0, alt=  0 oper  meta     "."
273: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
274: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
275: entry=278, suc=  0, alt=  0 ident head     "condition"
276: entry=  0, suc=  0, alt=  0 oper  meta     "="
277: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
278: entry= 74, suc=280, alt=286 ident non_term "unary_oper"
279: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
280: entry=294, suc=  0, alt=  0 ident non_term "expression"
281: entry=  0, suc=  0, alt=  0 oper  meta     "."
282: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
283: entry=286, suc=  0, alt=  0 ident head     "condition"
284: entry=  0, suc=  0, alt=  0 oper  meta     "="
285: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
286: entry=294, suc=288, alt=  0 ident non_term "expression"
287: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
288: entry= 80, suc=290, alt=  0 ident non_term "binary_oper"
289: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
290: entry=294, suc=  0, alt=  0 ident non_term "expression"
291: entry=  0, suc=  0, alt=  0 oper  meta     "."
292: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
293: entry=  0, suc=  0, alt=  0 nul   empty    "LF"
294: entry=298, suc=  0, alt=  0 ident head     "expression"
295: entry=  0, suc=  0, alt=  0 oper  meta     "="
296: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
297: entry=  0, suc=  0, alt=  0 oper  meta     "["
298: entry=102, suc=302, alt=302 ident non_term "plus_minus"
299: entry=  0, suc=  0, alt=  0 nul   empty    "SPACE"
